species,sepal_length,sepal_width,petal_length,petal_width
setosa,4.89,2.73,1.68,0.22
versicolor,6.14,2.68,4.67,1.13
setosa,5.1,3.73,1.49,0.29
setosa,4.95,3.76,1.43,0.27
versicolor,5.62,2.58,3.45,0.65
setosa,5.47,3.24,1.76,0.45
virginica,7.15,2.46,5.46,1.24
setosa,5.08,3.8,1.4,0.28
setosa,4.88,2.43,1.47,0.11
versicolor,5.89,2.81,4.62,1.2
virginica,6.54,3.14,5.25,2.52
virginica,5.1,3.2,4.55,2.41
versicolor,6.76,2.27,4.45,0.96
setosa,4.53,2.65,1.44,0.24
setosa,4.81,2.62,1.46,0.36
versicolor,5.42,2.42,3.86,1.23
virginica,6.99,3.01,6.41,1.15
virginica,6.0,3.08,5.88,2.37
setosa,5.27,3.57,1.45,0.28
versicolor,5.42,2.71,4.54,1.49
setosa,5.88,3.26,1.39,0.44
setosa,5.01,3.72,1.63,0.35
virginica,6.41,3.7,5.0,1.28
versicolor,5.7,3.72,5.61,1.49
virginica,5.88,3.41,5.57,1.99
virginica,6.79,3.25,5.53,2.49
virginica,7.22,2.68,5.87,1.79
virginica,7.13,2.53,5.78,1.78
virginica,6.51,3.6,6.49,2.83
virginica,8.65,3.05,6.21,1.83
setosa,5.21,3.41,1.54,0.2
setosa,4.21,3.38,1.73,0.26
versicolor,6.16,3.7,4.85,1.6
setosa,5.2,3.71,1.66,0.36
versicolor,6.37,3.14,4.06,1.26
versicolor,6.03,3.1,4.46,1.3
versicolor,5.61,3.1,3.48,1.67
versicolor,6.12,2.87,4.46,1.53
versicolor,6.08,3.46,3.72,1.14
virginica,6.64,3.12,5.22,2.04
setosa,4.65,3.33,1.12,0.16
versicolor,6.21,2.81,4.95,0.97
versicolor,7.19,2.42,4.24,1.08
versicolor,5.93,2.42,4.42,1.13
setosa,4.98,2.72,1.46,0.16
virginica,6.28,2.88,6.17,2.38
setosa,5.27,3.19,1.33,0.13
setosa,5.61,3.28,1.34,0.44
virginica,6.83,3.05,6.58,2.6
virginica,6.97,2.66,6.23,1.26
versicolor,5.6,3.12,4.35,1.49
virginica,6.64,2.5,6.01,1.45
virginica,6.47,3.14,5.09,2.1
virginica,5.93,3.3,5.73,1.79
versicolor,5.59,3.11,3.84,1.32
virginica,7.57,3.25,6.2,2.16
versicolor,5.91,2.94,4.02,1.18
setosa,4.94,3.59,1.58,0.25
virginica,7.08,2.73,6.72,1.9
versicolor,5.9,2.61,4.49,1.31
virginica,5.42,2.78,6.13,1.68
virginica,5.95,2.6,5.96,1.6
virginica,7.48,2.67,5.52,1.42
setosa,5.78,2.89,1.31,0.17
virginica,6.34,3.09,4.99,2.29
virginica,6.68,3.34,5.86,1.94
setosa,5.3,2.98,1.62,0.18
virginica,7.32,3.49,5.49,2.48
virginica,6.11,3.5,4.98,2.82
virginica,6.19,2.11,6.19,1.64
setosa,5.27,2.57,1.75,0.4
setosa,5.09,3.27,1.51,0.59
versicolor,4.93,2.78,4.79,1.16
virginica,5.39,2.32,5.85,1.88
versicolor,5.62,3.04,3.9,1.55
setosa,4.99,3.45,1.61,0.27
virginica,5.81,2.94,5.72,2.26
versicolor,5.96,3.03,3.63,1.3
setosa,4.71,3.9,2.04,0.23
setosa,5.04,3.53,1.49,0.24
setosa,4.92,3.37,1.37,0.24
setosa,5.32,3.98,1.46,0.31
setosa,4.86,4.7,1.88,0.37
virginica,6.49,3.06,5.0,1.69
virginica,6.35,2.91,5.98,1.89
versicolor,6.57,2.35,4.79,1.2
versicolor,6.21,3.23,4.79,1.07
setosa,4.52,2.33,1.18,0.28
virginica,7.88,1.93,5.14,1.56
versicolor,5.89,2.61,4.23,1.74
setosa,4.96,2.72,1.39,0.2
setosa,4.91,2.8,1.29,0.14
setosa,5.13,3.98,1.44,0.43
setosa,5.81,3.57,1.61,0.49
virginica,7.53,2.65,5.79,1.54
virginica,6.04,3.08,5.49,2.58
versicolor,6.25,1.7,4.04,0.97
setosa,4.72,3.04,1.78,0.35
versicolor,5.52,3.52,4.54,1.46
virginica,6.75,2.65,5.38,2.23
