species,sepal_length,sepal_width,petal_length,petal_width
setosa,5.02,3.13,1.91,0.35
versicolor,5.43,2.43,4.52,1.45
versicolor,6.79,3.45,2.84,1.45
versicolor,6.08,2.42,4.16,0.89
versicolor,5.82,3.19,4.96,1.42
virginica,6.12,1.91,5.94,2.16
versicolor,6.06,2.62,5.1,1.03
versicolor,7.24,3.22,4.28,1.58
setosa,5.17,3.61,1.49,0.48
versicolor,7.0,3.06,4.86,1.6
virginica,6.69,3.08,5.51,1.84
versicolor,6.1,2.42,4.5,1.56
versicolor,5.8,3.18,4.74,1.13
virginica,6.48,2.65,5.8,1.31
virginica,6.57,3.65,6.3,1.94
versicolor,6.46,3.45,4.44,1.31
setosa,5.55,3.31,1.67,0.32
setosa,5.06,3.81,1.81,0.22
setosa,5.46,3.58,1.47,0.33
setosa,5.27,4.14,1.24,0.29
virginica,6.72,2.92,5.47,1.91
virginica,7.09,3.0,5.39,2.14
virginica,6.98,2.79,6.33,2.52
virginica,7.14,3.17,5.28,2.04
versicolor,6.35,2.86,5.03,0.85
versicolor,6.31,3.47,4.38,1.53
virginica,7.54,2.49,6.37,1.42
virginica,6.75,2.35,6.27,1.8
versicolor,5.59,2.28,4.15,1.43
setosa,5.1,3.0,2.03,0.28
setosa,4.9,3.34,1.45,0.36
versicolor,6.46,2.44,4.42,1.0
setosa,5.58,3.41,1.48,0.35
setosa,5.63,3.26,1.7,0.27
virginica,6.7,2.03,6.31,1.72
versicolor,5.55,3.33,3.94,1.17
virginica,6.83,2.75,5.65,2.09
versicolor,5.53,2.59,4.4,1.32
versicolor,6.59,2.54,4.71,1.86
setosa,4.95,3.31,1.45,0.32
versicolor,6.04,2.69,3.67,1.03
setosa,4.98,3.67,1.55,0.18
versicolor,5.44,2.59,4.3,1.15
versicolor,6.7,3.74,4.11,1.63
virginica,6.47,2.1,5.24,1.91
versicolor,6.05,2.33,4.39,0.9
versicolor,5.0,2.79,3.93,1.31
virginica,8.29,2.64,5.28,1.6
versicolor,6.42,2.98,4.21,1.26
setosa,5.53,4.56,1.77,0.36
versicolor,5.45,3.04,4.24,1.24
virginica,7.34,2.6,5.8,1.77
virginica,6.69,3.26,6.54,1.85
versicolor,5.85,2.65,5.17,1.4
setosa,4.88,3.27,1.49,0.35
setosa,5.36,3.77,1.63,0.32
setosa,4.9,3.46,1.48,0.4
versicolor,6.26,2.2,4.55,0.76
setosa,5.41,3.9,1.65,0.32
virginica,6.22,2.29,5.1,1.75
virginica,6.63,3.21,4.63,1.43
setosa,4.84,4.07,1.9,0.4
virginica,5.79,2.66,5.83,1.88
setosa,5.4,3.2,1.24,0.18
virginica,5.92,3.04,5.28,2.14
versicolor,6.2,2.92,4.89,1.36
versicolor,6.47,3.16,4.61,1.19
setosa,5.16,3.14,1.36,0.27
virginica,6.83,2.28,5.48,1.5
setosa,4.82,4.34,1.64,0.18
setosa,5.18,3.11,1.56,0.33
versicolor,5.72,3.18,4.03,1.37
versicolor,6.16,2.85,4.73,1.85
virginica,7.03,3.46,5.27,2.36
versicolor,5.77,2.84,3.98,1.45
setosa,4.48,2.4,1.54,0.27
versicolor,6.33,3.23,4.99,1.06
virginica,6.72,3.59,5.08,1.52
virginica,7.02,2.48,4.7,1.46
virginica,7.09,2.76,5.1,1.55
setosa,5.35,3.16,1.66,0.24
versicolor,6.4,2.84,3.4,1.12
setosa,4.7,3.31,1.44,0.22
virginica,7.74,3.48,6.52,2.31
setosa,5.47,4.1,1.5,0.38
setosa,4.91,3.52,1.61,0.48
setosa,5.37,4.09,1.29,0.19
versicolor,5.32,2.48,2.9,1.36
setosa,5.13,3.04,1.66,0.15
virginica,6.01,1.8,5.92,2.14
setosa,4.43,3.35,1.5,0.27
versicolor,5.9,2.21,4.04,0.97
setosa,5.21,3.52,1.55,0.15
setosa,5.2,3.6,1.5,0.33
virginica,7.49,3.06,7.68,2.17
setosa,5.31,4.45,1.62,0.4
setosa,4.82,2.91,1.85,0.19
setosa,4.93,3.81,1.94,0.35
versicolor,6.28,2.81,4.27,1.07
setosa,5.11,4.76,1.46,0.2
