species,sepal_length,sepal_width,petal_length,petal_width
virginica,6.72,3.58,6.08,2.21
versicolor,5.68,3.01,4.48,1.09
virginica,7.44,2.97,4.57,1.43
setosa,4.18,2.86,1.5,0.33
virginica,6.06,3.56,4.89,2.42
setosa,5.68,3.66,1.62,0.36
versicolor,6.6,1.9,4.55,1.64
virginica,7.72,2.77,6.08,2.28
setosa,5.74,2.73,1.54,0.32
virginica,6.98,2.53,5.5,1.52
setosa,4.42,2.22,1.41,0.24
setosa,4.95,2.75,1.54,0.29
setosa,4.7,3.54,1.55,0.25
versicolor,6.51,2.32,4.58,1.06
versicolor,5.86,3.31,5.28,1.44
versicolor,5.24,3.13,3.42,1.35
setosa,5.12,3.04,1.56,0.3
virginica,6.43,3.4,6.52,1.76
setosa,5.29,2.68,1.49,0.26
setosa,6.36,3.16,1.7,0.26
virginica,7.41,3.32,4.85,2.3
versicolor,6.67,2.73,5.04,1.16
versicolor,5.48,2.71,4.03,1.36
setosa,5.38,2.99,1.69,0.5
virginica,6.97,4.11,5.67,2.49
virginica,5.82,2.03,6.62,2.18
virginica,5.92,2.73,5.39,1.52
virginica,7.11,3.21,5.45,1.59
versicolor,5.6,3.02,4.11,1.58
versicolor,5.94,2.12,3.52,1.28
virginica,6.94,3.36,5.72,2.39
virginica,5.83,3.25,6.11,2.41
versicolor,5.63,2.57,3.57,1.28
virginica,7.47,2.14,6.14,1.61
setosa,5.04,4.16,1.56,0.36
setosa,5.03,3.15,1.52,0.32
setosa,5.68,3.45,1.29,0.36
virginica,7.63,3.23,6.55,2.43
versicolor,6.35,2.92,4.88,1.49
virginica,6.73,2.99,6.62,1.8
setosa,4.94,4.05,1.38,0.4
virginica,5.51,3.06,5.27,2.06
virginica,6.74,2.76,5.92,1.85
setosa,4.9,4.05,1.61,0.3
versicolor,6.0,3.04,4.81,1.3
versicolor,7.31,2.59,5.2,1.04
setosa,4.7,3.42,1.37,0.46
virginica,7.43,2.55,6.29,1.86
setosa,5.19,3.43,1.67,0.42
setosa,4.47,3.91,1.42,0.41
setosa,4.39,2.38,1.43,0.31
versicolor,6.06,2.95,3.92,1.39
virginica,5.38,3.06,6.09,2.32
versicolor,5.86,2.38,4.27,1.34
virginica,6.94,3.42,4.99,1.83
virginica,6.95,2.23,6.09,1.54
setosa,5.2,2.72,1.78,0.36
setosa,4.86,4.1,1.25,0.44
versicolor,6.2,2.6,4.56,1.02
setosa,4.88,3.9,1.46,0.32
versicolor,5.95,2.83,4.2,1.24
virginica,6.01,2.33,4.83,1.9
versicolor,6.13,3.21,3.75,0.84
setosa,4.56,2.47,1.48,0.29
setosa,4.86,3.54,1.57,0.16
versicolor,6.83,3.22,5.42,1.33
setosa,5.4,4.1,1.34,0.29
versicolor,6.2,2.71,4.5,1.7
versicolor,5.81,3.48,3.98,1.45
versicolor,4.91,2.32,4.12,0.78
versicolor,7.04,2.99,4.88,1.67
setosa,4.39,2.83,1.92,0.29
virginica,7.63,3.11,5.96,2.03
setosa,4.69,4.52,1.72,0.24
setosa,5.35,4.35,1.32,0.12
versicolor,5.67,2.34,3.86,0.88
versicolor,5.84,2.15,4.15,0.82
setosa,4.64,3.6,1.52,0.26
virginica,7.02,3.15,6.1,2.68
virginica,5.34,2.57,4.71,1.55
versicolor,6.09,3.44,4.59,1.19
versicolor,6.82,2.57,4.26,1.12
setosa,4.73,4.07,1.46,0.41
versicolor,6.32,2.46,3.5,1.37
versicolor,6.37,2.45,3.68,1.16
versicolor,6.3,2.71,5.17,1.51
virginica,7.18,3.13,6.04,2.05
versicolor,5.9,2.98,3.78,1.5
virginica,6.0,2.64,5.28,1.58
virginica,6.45,3.2,6.24,2.01
virginica,6.42,3.06,5.77,1.78
setosa,5.58,2.35,1.52,0.32
setosa,5.32,3.12,1.59,0.15
setosa,4.82,2.15,1.36,0.29
setosa,5.54,3.91,1.21,0.32
virginica,6.82,4.22,5.09,2.62
virginica,6.16,2.64,5.07,1.45
versicolor,6.23,3.38,4.45,1.27
setosa,5.5,2.25,1.5,0.34
virginica,6.35,3.25,6.28,2.07
versicolor,6.0,2.81,3.8,1.37
versicolor,5.61,2.47,3.75,1.67
virginica,5.19,3.23,4.41,1.69
versicolor,5.65,2.78,5.15,1.21
versicolor,7.24,2.07,4.08,1.1
setosa,4.26,3.97,1.25,0.18
virginica,7.12,2.25,5.17,1.26
setosa,5.06,3.26,1.77,0.17
setosa,4.34,3.96,1.62,0.49
virginica,6.74,2.75,5.45,1.72
versicolor,5.44,2.99,4.12,1.17
versicolor,5.72,2.31,4.79,0.83
virginica,6.41,2.28,6.5,1.95
versicolor,6.31,3.08,4.47,1.47
versicolor,5.95,2.49,4.1,1.31
versicolor,5.67,2.9,3.9,1.52
virginica,6.7,3.33,4.63,1.94
virginica,6.17,2.43,5.22,1.88
versicolor,5.13,3.06,3.59,1.31
versicolor,6.85,3.22,4.0,1.3
virginica,7.18,3.78,5.93,1.94
virginica,7.01,2.8,6.08,1.87
versicolor,5.7,2.48,4.19,1.4
setosa,5.68,3.13,1.49,0.27
setosa,4.58,3.68,1.6,0.3
virginica,6.25,3.36,6.23,1.5
setosa,5.3,2.7,1.29,0.13
virginica,6.66,2.91,6.63,2.02
setosa,5.03,2.3,1.66,0.16
virginica,5.64,3.03,5.7,2.13
virginica,5.61,3.06,5.83,2.47
setosa,5.49,3.59,1.37,0.26
setosa,4.97,3.33,1.54,0.21
virginica,6.52,3.46,5.32,1.9
setosa,5.11,3.61,1.59,0.23
setosa,5.98,2.77,1.78,0.22
virginica,6.15,2.49,5.6,1.74
setosa,5.16,3.97,1.46,0.39
virginica,7.85,2.86,5.63,1.75
versicolor,6.02,2.76,4.29,1.31
setosa,4.63,4.47,1.18,0.47
versicolor,5.81,2.81,3.64,1.48
versicolor,5.8,3.01,4.01,1.14
versicolor,7.24,2.69,4.63,1.06
setosa,5.33,3.63,1.63,0.26
virginica,5.11,2.56,4.3,1.86
setosa,5.12,4.15,1.48,0.28
virginica,5.21,2.9,4.29,1.61
virginica,6.64,2.6,4.51,1.47
virginica,6.49,3.1,6.52,2.03
virginica,6.36,2.17,5.78,1.73
setosa,5.04,3.07,1.57,0.37
virginica,6.39,2.9,4.77,1.61
setosa,5.24,3.61,1.65,0.39
virginica,7.82,3.24,5.74,2.0
setosa,5.22,3.05,1.8,0.27
versicolor,7.24,2.94,4.36,1.18
setosa,4.76,3.17,1.62,0.37
virginica,5.76,3.36,5.86,2.07
virginica,6.49,3.72,5.41,1.46
virginica,5.37,3.11,5.18,2.97
setosa,4.57,4.29,1.35,0.4
versicolor,5.78,3.04,4.85,1.45
setosa,4.57,3.12,1.56,0.24
setosa,5.34,2.92,1.11,0.33
virginica,6.23,2.87,4.98,1.34
versicolor,6.79,2.76,4.57,1.31
setosa,5.08,3.38,1.3,0.47
virginica,7.81,3.45,5.25,1.61
setosa,5.13,2.76,1.67,0.35
versicolor,5.08,3.22,4.74,1.81
setosa,5.84,3.44,1.59,0.39
setosa,4.39,3.83,1.56,0.43
setosa,4.39,3.06,1.44,0.26
virginica,5.16,3.2,5.64,1.43
setosa,4.86,2.8,1.38,0.38
setosa,4.68,3.04,1.31,0.3
virginica,6.73,2.89,5.71,1.59
versicolor,6.15,2.87,4.9,0.99
versicolor,6.13,2.72,4.86,1.32
setosa,5.4,3.27,1.53,0.37
versicolor,6.28,2.87,3.9,1.12
setosa,4.89,3.02,1.26,0.43
setosa,5.24,2.85,1.57,0.28
versicolor,5.38,2.8,4.36,1.22
versicolor,6.95,2.71,4.24,1.18
virginica,6.18,2.52,4.88,1.85
virginica,5.85,3.61,5.12,1.81
versicolor,5.91,2.73,4.61,1.34
setosa,5.48,2.54,1.66,0.22
virginica,6.35,3.19,4.78,2.32
virginica,6.21,2.97,5.13,1.57
versicolor,5.6,2.71,3.06,1.41
virginica,7.42,2.75,5.08,1.47
versicolor,6.15,2.91,3.62,1.0
setosa,4.98,4.17,1.89,0.38
versicolor,6.22,2.96,4.09,1.47
setosa,5.45,2.47,1.48,0.17
versicolor,5.84,2.49,4.31,1.29
virginica,6.43,3.24,5.61,1.95
versicolor,6.01,2.57,3.82,1.32
setosa,4.74,3.75,1.89,0.22
setosa,4.86,3.63,1.45,0.35
setosa,5.62,2.87,1.84,0.24
setosa,5.46,3.81,1.61,0.27
virginica,6.55,2.13,5.1,1.78
setosa,4.86,3.01,1.38,0.28
versicolor,6.76,2.83,4.19,1.41
setosa,5.73,3.52,1.98,0.32
setosa,4.73,2.75,1.48,0.46
versicolor,5.58,3.31,5.4,1.67
setosa,5.22,3.47,1.36,0.08
versicolor,5.72,2.99,4.38,1.88
setosa,5.01,3.97,1.24,0.33
versicolor,5.9,2.68,5.63,1.31
versicolor,6.49,2.95,4.95,1.41
versicolor,6.2,2.62,5.12,1.49
setosa,5.27,4.08,1.13,0.5
setosa,5.04,3.92,1.4,0.21
virginica,7.27,3.4,6.35,1.52
versicolor,5.8,2.9,4.14,1.28
versicolor,5.9,2.52,4.87,1.09
versicolor,5.84,3.0,4.45,1.74
virginica,5.72,3.32,4.61,1.74
setosa,5.23,3.78,1.38,0.33
versicolor,5.56,2.73,3.99,1.34
setosa,4.92,3.48,1.48,0.19
setosa,5.7,2.78,1.73,0.08
setosa,5.15,3.55,1.22,0.28
setosa,5.26,3.16,1.31,0.37
versicolor,5.24,2.15,5.07,1.33
virginica,7.18,3.78,5.13,2.42
setosa,4.7,3.69,1.69,0.19
virginica,5.99,2.74,4.72,2.14
setosa,4.68,2.95,1.23,0.2
virginica,6.72,3.26,5.32,2.92
virginica,6.52,2.08,5.16,1.66
virginica,7.93,3.36,6.66,2.14
virginica,6.82,3.15,5.72,1.51
virginica,6.71,3.34,4.94,2.34
versicolor,6.01,2.52,4.7,1.24
versicolor,5.66,2.36,3.4,1.39
setosa,5.01,3.02,1.34,0.22
setosa,5.26,3.82,1.6,0.33
setosa,5.01,4.05,1.35,0.34
setosa,4.72,2.64,1.34,0.25
versicolor,5.39,2.8,3.6,1.19
virginica,6.16,2.23,5.01,1.58
setosa,5.42,3.16,1.55,0.27
versicolor,5.13,2.29,4.06,1.52
setosa,5.0,2.9,1.41,0.24
virginica,6.87,2.3,5.11,2.02
setosa,4.6,3.71,1.59,0.49
versicolor,6.57,3.23,4.16,1.38
virginica,6.56,3.02,4.35,1.58
versicolor,5.24,3.21,4.26,1.49
virginica,4.88,3.63,5.65,1.9
setosa,5.77,3.45,1.45,0.33
virginica,6.71,3.42,5.93,2.76
versicolor,5.59,2.54,5.09,1.44
versicolor,6.32,3.63,4.57,1.23
setosa,4.92,2.9,1.5,0.23
versicolor,5.83,2.72,3.32,1.38
versicolor,5.69,2.41,4.77,1.22
setosa,4.98,3.63,1.84,0.38
virginica,5.73,3.37,6.39,2.27
versicolor,6.14,3.19,4.02,1.38
versicolor,5.78,2.84,4.13,1.54
setosa,5.19,3.5,1.8,0.23
versicolor,6.18,2.11,4.33,1.31
virginica,6.44,2.45,5.87,1.4
virginica,7.17,3.0,5.6,2.01
versicolor,6.33,2.26,4.41,0.97
setosa,5.39,3.81,1.71,0.32
virginica,6.23,3.18,6.7,1.72
virginica,7.42,2.75,5.07,1.82
virginica,5.87,3.48,5.92,1.48
setosa,5.6,3.32,1.67,0.25
versicolor,5.41,2.26,4.35,1.38
virginica,6.49,2.62,5.12,1.98
versicolor,6.17,3.42,4.53,1.38
virginica,6.0,2.87,5.17,1.79
versicolor,6.72,2.94,4.26,1.32
versicolor,5.27,2.94,4.19,1.5
versicolor,5.1,2.83,5.09,1.39
virginica,6.71,3.57,5.39,1.94
virginica,7.61,2.6,5.14,1.75
versicolor,5.95,2.71,5.06,1.4
setosa,5.46,3.15,1.29,0.3
versicolor,6.34,2.61,5.35,1.57
versicolor,6.81,2.82,3.82,1.78
versicolor,4.94,3.15,4.23,1.51
setosa,4.78,3.31,1.46,0.28
setosa,5.45,3.3,1.67,0.32
virginica,6.91,3.83,4.62,2.09
versicolor,6.05,2.86,3.86,1.5
versicolor,6.93,3.08,3.28,1.43
virginica,7.3,3.06,5.54,2.05
virginica,6.61,3.21,5.7,1.98
virginica,5.91,2.61,6.4,2.19
